"name","party","constituency","email","photo","link"
"Steve Craig","PC","Sackville-Cobequid","Steve.Craig@novascotia.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/steve_craig_237X237.jpg?itok=mn-tde0a","https://nslegislature.ca/members/profiles/steve-craig"
"Honourable Randy Delorey","Liberal","Antigonish","office@antigonishmla.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Delorey_CNS.jpg?itok=GlRU3cTF","https://nslegislature.ca/members/profiles/randy-delorey"
"Honourable Lena Metlege Diab","Liberal","Halifax Armdale","lena@metlegediab.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Diab_CNS.jpg?itok=LOHdYNLI","https://nslegislature.ca/members/profiles/lena-m.-diab"
"Rafah DiCostanzo","Liberal","Clayton Park West","Rafah@Rafahdicostanzo.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/DiCostanzo_CNS.jpg?itok=VWg9xmVY","https://nslegislature.ca/members/profiles/rafah-dicostanzo"
"Honourable Pat Dunn","PC","Pictou Centre","patdunnmla@bellaliant.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Dunn_CNS.jpg?itok=nz4tGCkT","https://nslegislature.ca/members/profiles/patrick-dunn"
"Honourable Mark Furey","Liberal","Lunenburg West","markfurey.mla@eastlink.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Furey_CNS.jpg?itok=YxLH8S0p","https://nslegislature.ca/members/profiles/mark-furey"
"Honourable Leo A. Glavine","Liberal","Kings West","leoglavinemla@leoglavine.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/LeoGlavine-Thumb.jpg?itok=pubNEC9R","https://nslegislature.ca/members/profiles/leo-glavine"
"Tim Halman","PC","Dartmouth East","timhalmanmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Halman2_thumb.jpg?itok=h8nN_38e","https://nslegislature.ca/members/profiles/tim-halman"
"Larry Harrison","PC","Colchester-Musquodoboit Valley","larryharrisonmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Harrison_cns.jpg?itok=D3T2Zpug","https://nslegislature.ca/members/profiles/larry-harrison"
"Honourable Lloyd Hines","Liberal","Guysborough-Eastern Shore-Tracadie","lphines@ns.sympatico.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Hines_CNS.jpg?itok=Kdi-kbTo","https://nslegislature.ca/members/profiles/lloyd-hines"
"Bill Horne","Liberal","Waverley-Fall River-Beaver Bank","billhornemla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Horne_CNS.jpg?itok=Ot3MHbSW","https://nslegislature.ca/members/profiles/bill-horne"
"Tim Houston","PC","Pictou East","pictoueastamanda@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Houston_CNS.jpg?itok=s5BOFMvg","https://nslegislature.ca/members/profiles/tim-houston"
"Honourable Tony Ince","Liberal","Cole Harbour-Portland Valley","tonyince@tonyincemla.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Ince_CNS.jpg?itok=5f-r0Ydx","https://nslegislature.ca/members/profiles/tony-ince"
"Honourable Keith Irving","Liberal","Kings South","keith@irvingmla.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Irving_CNS.jpg?itok=1CPTOE55","https://nslegislature.ca/members/profiles/keith-irving"
"Honourable Ben Jessome","Liberal","Hammonds Plains-Lucasville","jessomeben@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Jessome_CNS.jpg?itok=npelV8CO","https://nslegislature.ca/members/profiles/ben-jessome"
"Brad Johns","PC","Sackville-Beaver Bank","mlabradjohns@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/BradJohns-Thumb.jpg?itok=gdm_SFKc","https://nslegislature.ca/members/profiles/brad-bj-johns"
"Honourable Labi Kousoulis","Liberal","Halifax Citadel-Sable Island","labi@labimla.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Kousoulis_CNS.jpg?itok=DGwJrT6U","https://nslegislature.ca/members/profiles/labi-kousoulis"
"Colton LeBlanc","PC","Argyle-Barrington","info@coltonleblanc.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/LeBlancColton_thumb_1.jpg?itok=SjYhv6bq","https://nslegislature.ca/members/profiles/colton-leblanc"
"Susan Leblanc","NDP","Dartmouth North","susanleblancMLA@bellaliant.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Leblanc.jpg?itok=rMqQ9G8H","https://nslegislature.ca/members/profiles/susan-leblanc"
"Honourable Suzanne Lohnes-Croft","Liberal","Lunenburg","lunenburgmla@eastlink.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Lohnes-Croft_CNS.jpg?itok=seD1hX5S","https://nslegislature.ca/members/profiles/suzanne-lohnes-croft"
"John Lohr","PC","Kings North","johnlohrmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Lohr_CNS.jpg?itok=W4D0JoVp","https://nslegislature.ca/members/profiles/john-.-lohr"
"Karla MacFarlane","PC","Pictou West","pictouwestmla@bellaliant.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/MacFarlane_CNS.jpg?itok=6kpi4K-N","https://nslegislature.ca/members/profiles/karla-macfarlane"
"Hugh MacKay","Independent","Chester-St. Margaret's","info@hughmackay.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/hughmlaheadshot2.jpg?itok=yhaQ1wLX","https://nslegislature.ca/members/profiles/hugh-mackay"
"Honourable Geoff MacLellan","Liberal","Glace Bay","mla@geoffmaclellan.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/MacLellan_CNS.jpg?itok=Xo7YjBHr","https://nslegislature.ca/members/profiles/geoff-maclellan"
"Allan MacMaster","PC","Inverness","mlamacmaster@bellaliant.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/MacMaster_CNS.jpg?itok=leltEOhx","https://nslegislature.ca/members/profiles/allan-macmaster"
"Honourable Brendan Maguire","Liberal","Halifax Atlantic","brendan@brendanmaguire.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Maguire_CNS.jpg?itok=Ln52bgjO","https://nslegislature.ca/members/profiles/brendan-o.-maguire"
"Kim Masland","PC","Queens-Shelburne","Kim.maslandmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Masland_CNS.jpg?itok=W4v5OMiK","https://nslegislature.ca/members/profiles/kim-masland"
"Honourable Stephen McNeil","Liberal","Annapolis","stephenmcneil@ns.aliantzinc.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/StephenMcNeil-thumb.jpg?itok=xr_h3XRe","https://nslegislature.ca/members/profiles/stephen-mcneil"
"Honourable Margaret Miller","Liberal","Hants East","margaretmillermla@bellaliant.net","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Miller_CNS.jpg?itok=m7i2c-e2","https://nslegislature.ca/members/profiles/margaret-miller"
"Honourable Derek Mombourquette","Liberal","Sydney-Whitney Pier","info@mombourquette.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Mombourquette_CNS.jpg?itok=MjjxWctS","https://nslegislature.ca/members/profiles/derek-mombourquette"
"Honourable Kevin Murphy","Liberal","Eastern Shore","info@kevinmurphy.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Murphy_Kevin2.jpg?itok=3O8DaOhT","https://nslegislature.ca/members/profiles/kevin-murphy"
"Alana Paon","Independent","Cape Breton-Richmond","mla_assistant@alanapaon.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Paon_CNS.jpg?itok=gfiMpeh3","https://nslegislature.ca/members/profiles/alana-paon"
"Honourable Chuck Porter","Liberal","Hants West","chuck@chuckporter.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Porter_CNS.jpg?itok=EW3IYeyo","https://nslegislature.ca/members/profiles/chuck-porter"
"Honourable Iain Rankin","Liberal","Timberlea-Prospect","info@iainrankin.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Rankin_thumb_0.jpg?itok=LJ_oEPaC","https://nslegislature.ca/members/profiles/iain-rankin"
"Honourable Kelly Regan","Liberal","Bedford","kelly@kellyregan.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Regan_CNS.jpg?itok=SnZQ7btT","https://nslegislature.ca/members/profiles/kelly-regan"
"Dave Ritcey","PC","Truro-Bible Hill-Millbrook-Salmon River","mlaritcey@bellaliant.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Ritcey_thumb.jpg?itok=SMU5VnFU","https://nslegislature.ca/members/profiles/dave-ritcey"
"Lisa Roberts","NDP","Halifax Needham","lisarobertsmla@gmail.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/LisaRoberts-Thumb.jpg?itok=0k9T65Qp","https://nslegislature.ca/members/profiles/lisa-roberts"
"Tory Rushton","PC","Cumberland South","toryrushtonmla@bellaliant.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Rushton_Tory.jpg?itok=kQz0jI60","https://nslegislature.ca/members/profiles/tory-rushton"
"Murray Ryan","PC","Northside-Westmount","mla@murrayryan.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/MurrayRyan_thumb.jpg?itok=dDmGVLfP","https://nslegislature.ca/members/profiles/murray-ryan"
"Elizabeth Smith-McCrossin","PC","Cumberland North","mla@esmithmccrossinmla.com","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/ElizabethSmith-McCrossin-Thumb.jpg?itok=0v5b0LAT","https://nslegislature.ca/members/profiles/elizabeth-smith-mccrossin"
"Honourable Gordon Wilson","Liberal","Clare-Digby","info@claredigby.ca","https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Wilson_G_CNS_0.jpg?itok=GiyBdcRz","https://nslegislature.ca/members/profiles/gordon-l-wilson"
