"name","party","constituency","email","photo"
"Honourable
Nate Glubish","United Conservative Caucus","Strathcona-Sherwood Park","Strathcona.Sherwoodpark@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0919.jpg"
"Nicole Goehring","New Democratic Party","Edmonton-Castle Downs","Edmonton.Castledowns@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0847.jpg"
"Laila Goodridge","United Conservative Caucus","Fort McMurray-Lac La Biche","FortMcMurray.LacLaBiche@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0907.jpg"
"Richard Gotfried","United Conservative Caucus","Calgary-Fish Creek","Calgary.FishCreek@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0900.jpg"
"Christina Gray","New Democratic Party","Edmonton-Mill Woods","Edmonton.Millwoods@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0848.jpg"
"Pete Guthrie","United Conservative Caucus","Airdrie-Cochrane","Airdrie.Cochrane@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0920.jpg"
"David B. Hanson","United Conservative Caucus","Bonnyville-Cold Lake-St. Paul","Bonnyville.ColdLake.StPaul@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0888.jpg"
"Sarah Hoffman","New Democratic Party","Edmonton-Glenora","Edmonton.Glenora@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0850.jpg"
"Nate Horner","United Conservative Caucus","Drumheller-Stettler","Drumheller.Stettler@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0921.jpg"
"Honourable
Grant Hunter","United Conservative Caucus","Taber-Warner","Taber.Warner@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0889.jpg"
"Member Janis Irwin","New Democratic Party","Edmonton-Highlands-Norwood","Edmonton.HighlandsNorwood@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0910.jpg"
"Whitney Issik","United Conservative Caucus","Calgary-Glenmore","Calgary.Glenmore@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0922.jpg"
"Matt Jones","United Conservative Caucus","Calgary-South East","Calgary.SouthEast@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0923.jpg"
"Honourable Premier
Jason Kenney, PC","United Conservative Caucus","Calgary-Lougheed","Calgary.Lougheed@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0906.jpg"
"Honourable
Adriana LaGrange","United Conservative Caucus","Red Deer-North","RedDeer.North@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0924.jpg"
"Todd Loewen","United Conservative Caucus","Central Peace-Notley","CentralPeace.Notley@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0890.jpg"
"Martin Long","United Conservative Caucus","West Yellowhead","West.Yellowhead@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0925.jpg"
"Jackie Lovely","United Conservative Caucus","Camrose","Camrose@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0926.jpg"
"Member Rod Loyola","New Democratic Party","Edmonton-Ellerslie","Edmonton.Ellerslie@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0856.jpg"
"Honourable
Jason Luan","United Conservative Caucus","Calgary-Foothills","Calgary.Foothills@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0806.jpg"
"Honourable
Kaycee Madu, QC","United Conservative Caucus","Edmonton-South West","Edmonton.SouthWest@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0927.jpg"
"Honourable
Ric McIver","United Conservative Caucus","Calgary-Hays","Calgary.Hays@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0808.jpg"
"Nicholas Milliken","United Conservative Caucus","Calgary-Currie","Calgary.Currie@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0928.jpg"
"Honourable
Dale Nally","United Conservative Caucus","Morinville-St. Albert","Morinville.StAlbert@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0929.jpg"
"Nathan Neudorf","United Conservative Caucus","Lethbridge-East","Lethbridge.East@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0930.jpg"
"Honourable
Demetrios Nicolaides","United Conservative Caucus","Calgary-Bow","Calgary.Bow@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0931.jpg"
"Chris Nielsen","New Democratic Party","Edmonton-Decore","Edmonton.Decore@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0865.jpg"
"Honourable
Jason Nixon","United Conservative Caucus","Rimbey-Rocky Mountain House-Sundre","Rimbey.RockyMountainhouse.Sundre@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0892.jpg"
"Jeremy Nixon","United Conservative Caucus","Calgary-Klein","Calgary.Klein@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0932.jpg"
"Rachel Notley","New Democratic Party","Edmonton-Strathcona","Edmonton.Strathcona@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0791.jpg"
"Ronald Orr","United Conservative Caucus","Lacombe-Ponoka","Lacombe.Ponoka@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0893.jpg"
"Rakhi Pancholi","New Democratic Party","Edmonton-Whitemud","Edmonton.Whitemud@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0911.jpg"
"Honourable
Prasad Panda","United Conservative Caucus","Calgary-Edgemont","Calgary.Edgemont@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0904.jpg"
"Shannon Phillips","New Democratic Party","Lethbridge-West","Lethbridge.West@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0867.jpg"
"Angela Pitt","United Conservative Caucus","Airdrie-East","Airdrie.East@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0894.jpg"
"Honourable
Josephine Pon","United Conservative Caucus","Calgary-Beddington","Calgary.Beddington@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0933.jpg"
"Pat Rehn","Independent","Lesser Slave Lake","Lesser.SlaveLake@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0934.jpg"
"Roger Reid","United Conservative Caucus","Livingstone-Macleod","Livingstone.Macleod@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0935.jpg"
"Marie Renaud","New Democratic Party","St. Albert","St.Albert@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0869.jpg"
"Miranda Rosin","United Conservative Caucus","Banff-Kananaskis","Banff.Kananaskis@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0936.jpg"
"Garth Rowswell","United Conservative Caucus","Vermilion-Lloydminster-Wainwright","Vermilion.Lloydminster.Wainwright@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0937.jpg"
"Brad Rutherford","United Conservative Caucus","Leduc-Beaumont","Leduc.Beaumont@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0938.jpg"
"Irfan Sabir","New Democratic Party","Calgary-McCall","Calgary.McCall@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0871.jpg"
"Honourable
Sonya Savage","United Conservative Caucus","Calgary-North West","Calgary.Northwest@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0939.jpg"
"Marlin Schmidt","New Democratic Party","Edmonton-Gold Bar","Edmonton.Goldbar@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0872.jpg"
"Joseph Schow","United Conservative Caucus","Cardston-Siksika","Cardston.Siksika@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0941.jpg"
"Honourable
Rebecca Schulz","United Conservative Caucus","Calgary-Shaw","Calgary.Shaw@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0942.jpg"
"Honourable
Doug Schweitzer, QC","United Conservative Caucus","Calgary-Elbow","Calgary.Elbow@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0943.jpg"
"Honourable
Tyler Shandro, QC","United Conservative Caucus","Calgary-Acadia","Calgary.Acadia@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0944.jpg"
"David Shepherd","New Democratic Party","Edmonton-City Centre","Edmonton.CityCentre@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0874.jpg"
"R.J. Sigurdson","United Conservative Caucus","Highwood","Highwood@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0945.jpg"
"Lori Sigurdson","New Democratic Party","Edmonton-Riverview","Edmonton.Riverview@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0875.jpg"
"Peter Singh","United Conservative Caucus","Calgary-East","Calgary.East@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0946.jpg"
"Mark Smith","United Conservative Caucus","Drayton Valley-Devon","DraytonValley.Devon@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0896.jpg"
"Jason Stephan","United Conservative Caucus","Red Deer-South","RedDeer.South@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0947.jpg"
"Heather Sweet","New Democratic Party","Edmonton-Manning","Edmonton.Manning@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0877.jpg"
"Honourable
Travis Toews","United Conservative Caucus","Grande Prairie-Wapiti","GrandePrairie.Wapiti@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0948.jpg"
"Devinder Toor","United Conservative Caucus","Calgary-Falconridge","Calgary.Falconridge@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0949.jpg"
"Searle Turton","United Conservative Caucus","Spruce Grove-Stony Plain","SpruceGrove.StonyPlain@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0950.jpg"
"Glenn van Dijken","United Conservative Caucus","Athabasca-Barrhead-Westlock","Athabasca.Barrhead.Westlock@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0898.jpg"
"Jordan Walker","United Conservative Caucus","Sherwood Park","Sherwood.Park@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0951.jpg"
"Dan Williams","United Conservative Caucus","Peace River","Peace.River@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0952.jpg"
"Honourable
Rick Wilson","United Conservative Caucus","Maskwacis-Wetaskiwin","Maskwacis.Wetaskiwin@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0953.jpg"
"Tany Yao","United Conservative Caucus","Fort McMurray-Wood Buffalo","FortMcMurray.WoodBuffalo@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0899.jpg"
"Muhammad Yaseen","United Conservative Caucus","Calgary-North","Calgary.North@assembly.ab.ca","https://www.assembly.ab.ca/images/default-source/members/mla-photos/ph-mla0954.jpg"
