"name","party","constituency","email","honorific"
"Matt Love","New Democratic Party","Saskatoon Eastview","saskatooneastview@ndpcaucus.sk.ca","Mr."
"Gene Makowsky","Saskatchewan Party","Regina Gardiner Park","gmakowsky.mla@sasktel.net","Hon."
"David Marit","Saskatchewan Party","Wood River","mlawoodriver@sasktel.net","Hon."
"Tim McLeod","Saskatchewan Party","Moose Jaw North","mjnorthmla@sasktel.net","Mr."
"Don McMorris","Saskatchewan Party","Indian Head-Milestone","mcmorris.mla@sasktel.net","Hon."
"Ryan Meili","New Democratic Party","Saskatoon Meewasin","saskatoonmeewasin@ndpcaucus.sk.ca","Mr."
"Paul Merriman","Saskatchewan Party","Saskatoon Silverspring-Sutherland","office@paulmerriman.ca","Hon."
"Derek Meyers","Saskatchewan Party","Regina Walsh Acres","derekmeyersmla@sasktel.net","Mr."
"Scott Moe","Saskatchewan Party","Rosthern-Shellbrook","scottmoe.mla@sasktel.net;","Hon."
"Don Morgan","Saskatchewan Party","Saskatoon Southeast","mla@donmorgan.ca","Hon."
"Vicki Mowat","New Democratic Party","Saskatoon Fairview","saskatoonfairview@ndpcaucus.sk.ca","Ms."
"Hugh Nerlien","Saskatchewan Party","Kelvington-Wadena","nerlien.mla@sasktel.net","Mr."
"Betty Nippi-Albright","New Democratic Party","Saskatoon Centre","saskatooncentre@ndpcaucus.sk.ca","Ms."
"Greg Ottenbreit","Saskatchewan Party","Yorkton","yorkton.mla@sasktel.net","Mr."
"Jim Reiter","Saskatchewan Party","Rosetown-Elrose","jimreitermla@sasktel.net","Hon."
"Erika Ritchie","New Democratic Party","Saskatoon Nutana","saskatoonnutana@ndpcaucus.sk.ca","Ms."
"Alana Ross","Saskatchewan Party","Prince Albert Northcote","alanarossmla@sasktel.net","Ms."
"Laura Ross","Saskatchewan Party","Regina Rochdale","laurarossmla@sasktel.net","Hon."
"Nicole Sarauer","New Democratic Party","Regina Douglas Park","reginadouglaspark@ndpcaucus.sk.ca","Ms."
"Dana Skoropad","Saskatchewan Party","Arm River","armriver.mla@gmail.com","Mr."
"Doug Steele","Saskatchewan Party","Cypress Hills","steelemla@sasktel.net","Mr."
"Lyle Stewart","Saskatchewan Party","Lumsden-Morse","lumsdenmorse.mla@sasktel.net","Hon."
"Christine Tell","Saskatchewan Party","Regina Wascana Plains","christinetellmla@accesscomm.ca","Hon."
"Doyle Vermette","New Democratic Party","Cumberland","cumberland@ndpcaucus.sk.ca","Mr."
"Randy Weekes","Saskatchewan Party","Biggar-Sask Valley","randyweekes.mla@accesscomm.ca","Hon."
"Nadine Wilson","Saskatchewan Party","Saskatchewan Rivers","saskatchewanrivers@sasktel.net","Ms."
"Trent Wotherspoon","New Democratic Party","Regina Rosemont","reginarosemont@ndpcaucus.sk.ca","Mr."
"Gordon Wyant","Saskatchewan Party","Saskatoon Northwest","g.wyant.mla@sasktel.net","Hon."
"Aleana Young","New Democratic Party","Regina University","reginauniversity@ndpcaucus.sk.ca","Ms."
"Colleen Young","Saskatchewan Party","Lloydminster","colleen.young@sasktel.net","Ms."
