"name","party","constituency","email","photo"
"Stephanie Cadieux","BC Liberal Party","Surrey South","stephanie.cadieux.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Cadieux-Stephanie.jpg"
"Spencer Chandra Herbert","BC NDP","Vancouver-West End","s.chandraherbert.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/ChandraHerbert-Spencer.jpg"
"Susie Chant","BC NDP","North Vancouver-Seymour","susie.chant.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Chant-Susie.jpg"
"Hon. Katrina Chen","BC NDP","Burnaby-Lougheed","katrina.chen.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/chen-Katrina.jpg"
"Hon. Raj Chouhan","BC NDP","Burnaby-Edmonds","raj.chouhan.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Chouhan-Raj.jpg"
"Hon. George Chow","BC NDP","Vancouver-Fraserview","george.chow.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/chow-George.jpg"
"Doug Clovechok","BC Liberal Party","Columbia River-Revelstoke","doug.clovechok.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/clovechok-Doug.jpg"
"Hon. Katrine Conroy","BC NDP","Kootenay West","katrine.conroy.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Conroy-Katrine.jpg"
"Dan Coulter","BC NDP","Chilliwack","dan.coulter.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Coulter-Dan.jpg"
"Hon. Nathan Cullen","BC NDP","Stikine","nathan.cullen.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Cullen-Nathan.jpg"
"Bob D'Eith","BC NDP","Maple Ridge-Mission","bob.deith.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/deith-Bob.jpg"
"Dan Davies","BC Liberal Party","Peace River North","dan.davies.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/davies-Dan.jpg"
"Michael de Jong, Q.C.","BC Liberal Party","Abbotsford West","mike.dejong.mla@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/dejong-Michael.jpg"
"Hon. Mitzi Dean","BC NDP","Esquimalt-Metchosin","mitzi.dean.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/dean-Mitzi.jpg"
"Hon. Adrian Dix","BC NDP","Vancouver-Kingsway","adrian.dix.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Dix-Adrian.jpg"
"Lorne Doerkson","BC Liberal Party","Cariboo-Chilcotin","lorne.doerkson.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Doerkson-Lorne.jpg"
"Fin Donnelly","BC NDP","Coquitlam-Burke Mountain","fin.donnelly.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Donnelly-Fin.jpg"
"Megan Dykeman","BC NDP","Langley East","megan.dykeman.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Dykeman-Megan.jpg"
"Hon. David Eby, Q.C.","BC NDP","Vancouver-Point Grey","david.eby.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Eby-David.jpg"
"Mable Elmore","BC NDP","Vancouver-Kensington","mable.elmore.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Elmore-Mable.jpg"
"Hon. Mike Farnworth","BC NDP","Port Coquitlam","mike.farnworth.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Farnworth-Mike.jpg"
"Hon. Rob Fleming","BC NDP","Victoria-Swan Lake","rob.fleming.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Fleming-Rob.jpg"
"Sonia Furstenau","BC Green Party","Cowichan Valley","sonia.furstenau.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/furstenau-Sonia.jpg"
"Rick Glumac","BC NDP","Port Moody-Coquitlam","rick.glumac.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/glumac-Rick.jpg"
"Kelly Greene","BC NDP","Richmond-Steveston","kelly.greene.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Greene-Kelly.jpg"
"Trevor Halford","BC Liberal Party","Surrey-White Rock","trevor.halford.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Halford-Trevor.jpg"
"Hon. George Heyman","BC NDP","Vancouver-Fairview","george.heyman.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Heyman-George.jpg"
"Hon. John Horgan","BC NDP","Langford-Juan de Fuca","john.horgan.mla@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Horgan-John.jpg"
"Hon. Ravi Kahlon","BC NDP","Delta North","ravi.kahlon.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/kahlon-Ravi.jpg"
"Hon. Anne Kang","BC NDP","Burnaby-Deer Lake","anne.kang.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/kang-Anne.jpg"
"Karin Kirkpatrick","BC Liberal Party","West Vancouver-Capilano","karin.kirkpatrick.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Kirkpatrick-Karin.jpg"
"Greg Kyllo","BC Liberal Party","Shuswap","greg.kyllo.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Kyllo-Greg.jpg"
"Michael Lee","BC Liberal Party","Vancouver-Langara","michael.lee.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/lee-Michael.jpg"
"Ronna-Rae Leonard","BC NDP","Courtenay-Comox","ronna-rae.leonard.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/leonard-Ronna-rae.jpg"
"Norm Letnick","BC Liberal Party","Kelowna-Lake Country","norm.letnick.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Letnick-Norm.jpg"
"Grace Lore","BC NDP","Victoria-Beacon Hill","grace.lore.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Lore-Grace.jpg"
"Hon. Bowinn Ma","BC NDP","North Vancouver-Lonsdale","bowinn.ma.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/ma-Bowinn.jpg"
"Hon. Sheila Malcolmson","BC NDP","Nanaimo","sheila.malcolmson.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/malcolmson-Sheila.jpg"
"Hon. Melanie Mark","BC NDP","Vancouver-Mount Pleasant","melanie.mark.mla@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/mark-Melanie.jpg"
"Andrew Mercier","BC NDP","Langley","andrew.mercier.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Mercier-Andrew.jpg"
"Renee Merrifield","BC Liberal Party","Kelowna-Mission","Renee.Merrifield.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Merrifield-Renee.jpg"
"Peter Milobar","BC Liberal Party","Kamloops-North Thompson","peter.milobar.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/milobar-Peter.jpg"
"Mike Morris","BC Liberal Party","Prince George-Mackenzie","mike.morris.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Morris-Mike.jpg"
"Coralee Oakes","BC Liberal Party","Cariboo North","coralee.oakes.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Oakes-Coralee.jpg"
"Adam Olsen","BC Green Party","Saanich North and the Islands","adam.olsen.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/olsen-Adam.jpg"
"Hon. Josie Osborne","BC NDP","Mid Island-Pacific Rim","josie.osborne.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Osborne-Josie.jpg"
"Kelli Paddon","BC NDP","Chilliwack-Kent","kelli.paddon.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Paddon-Kelli.jpg"
"Ian Paton","BC Liberal Party","Delta South","ian.paton.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/paton-Ian.jpg"
"Hon. Lana Popham","BC NDP","Saanich South","lana.popham.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Popham-Lana.jpg"
"Hon. Bruce Ralston, Q.C.","BC NDP","Surrey-Whalley","bruce.ralston.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Ralston-Bruce.jpg"
"Hon. Murray Rankin, Q.C.","BC NDP","Oak Bay-Gordon Head","murray.rankin.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Rankin-Murray.jpg"
"Jennifer Rice","BC NDP","North Coast","jennifer.rice.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/rice-Jennifer.jpg"
"Hon. Selina Robinson","BC NDP","Coquitlam-Maillardville","selina.robinson.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Robinson-Selina.jpg"
"Ellis Ross","BC Liberal Party","Skeena","ellis.ross.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/ross-Ellis.jpg"
"Janet Routledge","BC NDP","Burnaby North","janet.routledge.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/routledge-Janet.jpg"
"Doug Routley","BC NDP","Nanaimo-North Cowichan","douglas.routley.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Routley-Doug.jpg"
"Roly Russell","BC NDP","Boundary-Similkameen","roly.russell.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Russell-Roly.jpg"
"John Rustad","BC Liberal Party","Nechako Lakes","john.rustad.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Rustad-John.jpg"
"Harwinder Sandhu","BC NDP","Vernon-Monashee","harwinder.sandhu.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Sandhu-Harwinder.jpg"
"Niki Sharma","BC NDP","Vancouver-Hastings","niki.sharma.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Sharma-Niki.jpg"
"Tom Shypitka","BC Liberal Party","Kootenay East","tom.shypitka.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/shypitka-Tom.jpg"
"Hon. Nicholas Simons","BC NDP","Powell River-Sunshine Coast","nicholas.simons.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Simons-Nicholas.jpg"
"Jinny Sims","BC NDP","Surrey-Panorama","jinny.sims.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/sims-Jinny.jpg"
"Aman Singh","BC NDP","Richmond-Queensborough","aman.singh.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Singh-Aman.jpg"
"Rachna Singh","BC NDP","Surrey-Green Timbers","rachna.singh.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/singh-Rachna.jpg"
"Mike Starchuk","BC NDP","Surrey-Cloverdale","mike.starchuk.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Starchuk-Mike.jpg"
"Ben Stewart","BC Liberal Party","Kelowna West","ben.stewart.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/large/stewart-Ben.jpg"
"Todd Stone","BC Liberal Party","Kamloops-South Thompson","todd.stone.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Stone-Todd.jpg"
"Jordan Sturdy","BC Liberal Party","West Vancouver-Sea to Sky","jordan.sturdy.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Sturdy-Jordan.jpg"
"Jackie Tegart","BC Liberal Party","Fraser-Nicola","jackie.tegart.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Tegart-Jackie.jpg"
"Adam Walker","BC NDP","Parksville-Qualicum","adam.walker.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Walker-Adam.jpg"
"Teresa Wat","BC Liberal Party","Richmond North Centre","teresa.wat.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Wat-Teresa.jpg"
"Hon. Jennifer Whiteside","BC NDP","New Westminster","jennifer.whiteside.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Whiteside-Jennifer.jpg"
"Andrew Wilkinson, Q.C.","BC Liberal Party","Vancouver-Quilchena","andrew.wilkinson.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Wilkinson-Andrew.jpg"
"Henry Yao","BC NDP","Richmond South Centre","henry.yao.MLA@leg.bc.ca","https://www.leg.bc.ca/assets/Members/42nd-Parliament/Large/Yao-Henry.jpg"
