"party","constituency","province","language","email","photo"
"Liberal","Toronto—St. Paul's","Ontario","English","carolyn.bennett@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BennettCarolyn_Lib.jpg"
"Conservative","Calgary Heritage","Alberta","English","Bob.Benzen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BenzenBob_CPC.jpg"
"Conservative","Portage—Lisgar","Manitoba","English","candice.bergen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BergenCandice_CPC.jpg"
"Bloc Québécois","Montarville","Quebec","French","Stephane.Bergeron@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BergeronStephane_BQ.jpg"
"Conservative","Mégantic—L'Érable","Quebec","French","Luc.Berthold@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BertholdLuc_CPC.jpg"
"Bloc Québécois","Abitibi—Baie-James—Nunavik—Eeyou","Quebec","French","Sylvie.Berube@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BérubéSylvie_BQ.jpg"
"Liberal","Brome—Missisquoi","Quebec","French / English","Lyne.Bessette@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BessetteLyne_Lib.jpg"
"Conservative","Selkirk—Interlake—Eastman","Manitoba","English","james.bezan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BezanJames_CPC.jpg"
"Liberal","Compton—Stanstead","Quebec","French / English","Marie-Claude.Bibeau@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BibeauMarieClaude_Lib.jpg"
"Liberal","St. Catharines","Ontario","English","Chris.Bittle@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BittleChris_Lib.jpg"
"NDP","Elmwood—Transcona","Manitoba","English / French","Daniel.Blaikie@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlaikieDaniel_NDP.jpg"
"Liberal","Scarborough Southwest","Ontario","English","Bill.Blair@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlairBill_Lib.jpg"
"Bloc Québécois","Beloeil—Chambly","Quebec","French","Yves-Francois.Blanchet@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlanchetYvesFrançois_BQ.jpg"
"Bloc Québécois","Rimouski-Neigette—Témiscouata—Les Basques","Quebec","French","Maxime.Blanchette-Joncas@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlanchetteJoncasMaxime_BQ.jpg"
"NDP","North Island—Powell River","British Columbia","English","Rachel.Blaney@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlaneyRachel_NDP.jpg"
"Conservative","Bellechasse—Les Etchemins—Lévis","Quebec","French","steven.blaney@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlaneySteven_CPC.jpg"
"Conservative","Carlton Trail—Eagle Creek","Saskatchewan","English","kelly.block@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BlockKelly_CPC.jpg"
"Liberal","Kings—Hants","Nova Scotia","English","Kody.Blois@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BloisKody_Lib.jpg"
"Bloc Québécois","Terrebonne","Quebec","French","Michel.Boudrias@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BoudriasMichel_BQ.jpg"
"NDP","Rosemont—La Petite-Patrie","Quebec","French","Alexandre.Boulerice@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BoulericeAlexandre_NDP.jpg"
"Conservative","Tobique—Mactaquac","New Brunswick","English","Richard.Bragdon@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BragdonRichard_CPC.jpg"
"Conservative","Barrie—Innisfil","Ontario","English / French","John.Brassard@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BrassardJohn_CPC.jpg"
"Liberal","Hamilton East—Stoney Creek","Ontario","English","Bob.Bratina@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BratinaBob_Lib.jpg"
"Liberal","Sherbrooke","Quebec","French","Elisabeth.Briere@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BrièreÉlisabeth_Lib.jpg"
"Bloc Québécois","Lac-Saint-Jean","Quebec","French","Alexis.Brunelle-Duceppe@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/BrunelleDuceppeAlexis_BQ.jpg"
"Conservative","Red Deer—Lacombe","Alberta","English","blaine.calkins@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CalkinsBlaine_CPC.jpg"
"NDP","South Okanagan—West Kootenay","British Columbia","English","Richard.Cannings@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CanningsRichard_NDP.jpg"
"Liberal","Winnipeg South Centre","Manitoba","English","Jim.Carr@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CarrJim_Lib.jpg"
"Conservative","Oshawa","Ontario","English","colin.carrie@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CarrieColin_CPC.jpg"
"Liberal","Charlottetown","Prince Edward Island","English","Sean.Casey@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CaseySean_Lib.jpg"
"Bloc Québécois","Thérèse-De Blainville","Quebec","French","Louise.Chabot@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChabotLouise_BQ.jpg"
"Liberal","Waterloo","Ontario","English","Bardish.Chagger@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChaggerBardish_Lib.jpg"
"Liberal","Saint-Maurice—Champlain","Quebec","French","Francois-Philippe.Champagne@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChampagneFrancoisPhilippe_Lib.jpg"
"Bloc Québécois","Drummond","Quebec","French","Martin.Champoux@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChampouxMartin_BQ.jpg"
"Bloc Québécois","Trois-Rivières","Quebec","French","Louise.Charbonneau@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CharbonneauLouise_BQ.jpg"
"Liberal","Scarborough North","Ontario","English","Shaun.Chen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChenShaun_Lib.jpg"
"Conservative","Steveston—Richmond East","British Columbia","English","Kenny.Chiu@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChiuKenny_CPC.jpg"
"Conservative","Wellington—Halton Hills","Ontario","English","michael.chong@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ChongMichael_CPC.jpg"
"NDP","Victoria","British Columbia","English","Laurel.Collins@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CollinsLaurel_NDP.jpg"
"Conservative","St. Albert—Edmonton","Alberta","English","Michael.Cooper@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CooperMichael_CPC.jpg"
"Liberal","Acadie—Bathurst","New Brunswick","French / English","Serge.Cormier@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CormierSerge_Lib.jpg"
"Conservative","Edmonton Centre","Alberta","English","James.Cumming@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/CummingJames_CPC.jpg"
"Liberal","Toronto—Danforth","Ontario","English / French","Julie.Dabrusin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DabrusinJulie_Lib.jpg"
"Conservative","Pitt Meadows—Maple Ridge","British Columbia","English","Marc.Dalton@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DaltonMarc_CPC.jpg"
"Liberal","Oakville North—Burlington","Ontario","English","Pam.Damoff@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DamoffPam_Lib.jpg"
"Conservative","Kildonan—St. Paul","Manitoba","English","Raquel.Dancho@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DanchoRaquel_CPC.jpg"
"Conservative","York—Simcoe","Ontario","English","Scot.Davidson@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DavidsonScot_CPC.jpg"
"NDP","Vancouver Kingsway","British Columbia","English","don.davies@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DaviesDon_NDP.jpg"
"Bloc Québécois","Salaberry—Suroît","Quebec","French","Claude.DeBellefeuille@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DeBellefeuilleClaude_BQ.jpg"
"Conservative","Louis-Saint-Laurent","Quebec","French","Gerard.Deltell@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DeltellGérard_CPC.jpg"
"Conservative","West Nova","Nova Scotia","English / French","Chris.dEntremont@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DentremontChris_CPC.jpg"
"Bloc Québécois","Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix","Quebec","French","Caroline.Desbiens@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DesbiensCaroline_BQ.jpg"
"Bloc Québécois","Rivière-des-Mille-Îles","Quebec","French","Luc.Desilets@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DesiletsLuc_BQ.jpg"
"Liberal","Surrey—Newton","British Columbia","English","Sukh.Dhaliwal@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DhaliwalSukh_Lib.jpg"
"Liberal","Dorval—Lachine—LaSalle","Quebec","English / French","Anju.Dhillon@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DhillonAnju_Lib.jpg"
"Conservative","Edmonton Griesbach","Alberta","English / French","Kerry.Diotte@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DiotteKerry_CPC.jpg"
"Conservative","Cariboo—Prince George","British Columbia","English / French","Todd.Doherty@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DohertyTodd_CPC.jpg"
"Liberal","Don Valley North","Ontario","English / French","Han.Dong@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DongHan_Lib.jpg"
"Conservative","Simcoe—Grey","Ontario","English","Terry.Dowdall@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DowdallTerry_CPC.jpg"
"Conservative","Red Deer—Mountain View","Alberta","English","earl.dreeshen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DreeshenEarl_CPC.jpg"
"Liberal","Glengarry—Prescott—Russell","Ontario","French / English","Francis.Drouin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DrouinFrancis_Lib.jpg"
"Liberal","Bourassa","Quebec","French","Emmanuel.Dubourg@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DubourgEmmanuel_Lib.jpg"
"Liberal","Québec","Quebec","French / English","Jean-Yves.Duclos@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DuclosJeanYves_Lib.jpg"
"Liberal","Winnipeg South","Manitoba","English / French","Terry.Duguid@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DuguidTerry_Lib.jpg"
"Conservative","Stormont—Dundas—South Glengarry","Ontario","English / French","Eric.Duncan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DuncanEric_CPC.jpg"
"Liberal","Etobicoke North","Ontario","English","kirsty.duncan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DuncanKirsty_Lib.jpg"
"NDP","Hamilton Mountain","Ontario","English","Scott.Duvall@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DuvallScott_NDP.jpg"
"Liberal","Davenport","Ontario","English / French","Julie.Dzerowicz@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/DzerowiczJulie_Lib.jpg"
"Liberal","Malpeque","Prince Edward Island","English","wayne.easter@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EasterWayne_Lib.jpg"
"Liberal","Willowdale","Ontario","English","Ali.Ehsassi@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EhsassiAli_Lib.jpg"
"Liberal","Laval—Les Îles","Quebec","French","Faycal.El-Khoury@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ElKhouryFayçal_Lib.jpg"
"Liberal","Bay of Quinte","Ontario","English","Neil.Ellis@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EllisNeil_Lib.jpg"
"Conservative","Chatham-Kent—Leamington","Ontario","English","Dave.Epp@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/EppDave_CPC.jpg"
"Liberal","Beaches—East York","Ontario","English / French","Nathaniel.Erskine-Smith@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ErskineSmithNathaniel_Lib.jpg"
"Conservative","Battlefords—Lloydminster","Saskatchewan","English","Rosemarie.Falk@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FalkRosemarie_CPC.jpg"
"Conservative","Provencher","Manitoba","English","Ted.Falk@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FalkTed_CPC.jpg"
"Conservative","Abbotsford","British Columbia","English","ed.fast@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FastEd_CPC.jpg"
"Liberal","Hull—Aylmer","Quebec","French / English","Greg.Fergus@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FergusGreg_Lib.jpg"
"Liberal","Halifax","Nova Scotia","English","Andy.Fillmore@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FillmoreAndy_Lib.jpg"
"Conservative","South Surrey—White Rock","British Columbia","English / French","kerry-lynne.findlay@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FindlayKerryLynneD_CPC.jpg"
"Conservative","Haldimand—Norfolk","Ontario","English","diane.finley@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FinleyDiane_CPC.jpg"
"Liberal","Miramichi—Grand Lake","New Brunswick","English / French","Pat.Finnigan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FinniganPat_Lib.jpg"
"Liberal","Dartmouth—Cole Harbour","Nova Scotia","English","Darren.Fisher@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FisherDarren_Lib.jpg"
"Liberal","Mississauga East—Cooksville","Ontario","English","Peter.Fonseca@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FonsecaPeter_Lib.jpg"
"Liberal","Ottawa—Vanier","Ontario","French / English","Mona.Fortier@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FortierMona_Lib.jpg"
"Bloc Québécois","Rivière-du-Nord","Quebec","French","Rheal.Fortin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FortinRhéal_BQ.jpg"
"Liberal","London North Centre","Ontario","English","Peter.Fragiskatos@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FragiskatosPeter_Lib.jpg"
"Liberal","Central Nova","Nova Scotia","English","Sean.Fraser@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FraserSean_Lib.jpg"
"Liberal","University—Rosedale","Ontario","English","Chrystia.Freeland@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FreelandChrystia_Lib.jpg"
"Liberal","Vancouver Centre","British Columbia","English","hedy.fry@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FryHedy_Lib.jpg"
"Conservative","Renfrew—Nipissing—Pembroke","Ontario","English","cheryl.gallant@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GallantCheryl_CPC.jpg"
"Liberal","Notre-Dame-de-Grâce—Westmount","Quebec","French / English","marc.garneau@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GarneauMarc_Lib.jpg"
"NDP","Esquimalt—Saanich—Sooke","British Columbia","English","Randall.Garrison@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GarrisonRandall_NDP.jpg"
"Bloc Québécois","Laurentides—Labelle","Quebec","French","MH.Gaudreau@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GaudreauMarieHélène_BQ.jpg"
"NDP","Winnipeg Centre","Manitoba","English / French","Leah.Gazan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GazanLeah_NDP.jpg"
"Conservative","Montmagny—L'Islet—Kamouraska—Rivière-du-Loup","Quebec","French / English","Bernard.Genereux@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GénéreuxBernard_CPC.jpg"
"Conservative","Sherwood Park—Fort Saskatchewan","Alberta","English","Garnett.Genuis@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GenuisGarnett_CPC.jpg"
"Liberal","Kingston and the Islands","Ontario","English / French","Mark.Gerretsen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GerretsenMark_Lib.jpg"
"Bloc Québécois","Manicouagan","Quebec","French / English","Marilene.Gill@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GillMarilène_BQ.jpg"
"Conservative","Sarnia—Lambton","Ontario","English","Marilyn.Gladu@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GladuMarilyn_CPC.jpg"
"Conservative","Portneuf—Jacques-Cartier","Quebec","French","Joel.Godin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GodinJoël_CPC.jpg"
"Liberal","Burlington","Ontario","English","Karina.Gould@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GouldKarina_Lib.jpg"
"Conservative","Lévis—Lotbinière","Quebec","French","jacques.gourde@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GourdeJacques_CPC.jpg"
"Conservative","Kelowna—Lake Country","British Columbia","English","Tracy.Gray@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GrayTracy_CPC.jpg"
"NDP","Hamilton Centre","Ontario","English","Matthew.Green@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GreenMatthew_NDP.jpg"
"Liberal","Laurier—Sainte-Marie","Quebec","French / English","Steven.Guilbeault@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/GuilbeaultSteven_Lib.jpg"
"Liberal","Thunder Bay—Superior North","Ontario","English","Patty.Hajdu@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HajduPatty_Lib.jpg"
"Conservative","Calgary Forest Lawn","Alberta","English","JasrajSingh.Hallan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HallanJasrajSingh_CPC.jpg"
"Conservative","Lethbridge","Alberta","English","Rachael.Harder@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HarderRachael_CPC.jpg"
